"","Attrition","BusinessTravel","DailyRate","Department","EducationField","Gender","HourlyRate","JobLevel","JobRole","JobSatisfaction","MaritalStatus","MonthlyIncome","MonthlyRate","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","TotalWorkingYears","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager","Age_Group","Env_Group","Years_Group","Edu_Group","WorkLife_Group","JobInvolvement_Group"
"47","No","Travel_Rarely","516","Research & Development","Life Sciences","Male","69","2","Healthcare Representative","3","Single","6388","22049","Yes","17","3","1","14","0","0","0","Medium","High","Low","High","High","High"
"48","Yes","Travel_Rarely","1360","Research & Development","Technical Degree","Female","49","5","Research Director","3","Married","19545","16280","No","12","3","4","23","15","15","8","Medium","Low","High","High","High","High"
"49","No","Travel_Rarely","982","Research & Development","Life Sciences","Male","59","4","Research Director","2","Divorced","14336","4345","No","11","3","3","25","10","3","9","Medium","Low","High","High","High","Low"
"50","No","Travel_Rarely","538","Research & Development","Other","Male","54","2","Laboratory Technician","4","Single","3681","14004","No","14","3","4","9","2","0","2","Medium","Low","Low","Low","High","Low"
"51","No","Travel_Rarely","916","Research & Development","Life Sciences","Female","82","2","Research Scientist","1","Single","6545","23016","Yes","13","3","3","10","2","0","2","Medium","High","Low","Low","High","High"
"52","Yes","Travel_Frequently","575","Research & Development","Technical Degree","Male","73","1","Research Scientist","1","Single","3102","6582","No","22","4","3","7","4","0","4","Young","High","Low","Low","High","High"
"53","No","Travel_Rarely","395","Sales","Marketing","Male","98","1","Sales Representative","2","Married","2899","12102","No","19","3","4","3","2","1","2","Medium","Low","Low","High","High","Low"
"54","No","Travel_Rarely","1099","Research & Development","Life Sciences","Male","88","4","Manager","3","Married","17046","9314","No","15","3","2","28","10","15","7","Old","Low","High","High","High","Low"
"55","No","Travel_Rarely","412","Research & Development","Medical","Female","94","4","Manager","2","Divorced","17123","17334","Yes","13","3","4","21","9","15","2","Medium","High","High","High","High","Low"
"56","No","Travel_Rarely","465","Research & Development","Technical Degree","Male","74","1","Research Scientist","4","Married","3420","10205","No","12","3","3","17","5","1","2","Medium","Low","Low","High","Low","High"
"57","No","Travel_Rarely","1480","Sales","Life Sciences","Male","64","3","Sales Executive","4","Married","9713","24444","Yes","13","3","4","9","3","1","0","Medium","High","Low","High","High","High"
"58","Yes","Travel_Rarely","1330","Research & Development","Medical","Male","37","1","Laboratory Technician","3","Divorced","2377","19373","No","20","4","3","1","1","0","0","Young","Low","Low","High","Low","High"
"59","No","Travel_Frequently","702","Research & Development","Life Sciences","Female","100","1","Research Scientist","4","Single","2553","8306","No","16","3","3","6","2","1","3","Medium","High","Low","High","High","Low"
"60","No","Travel_Frequently","653","Research & Development","Technical Degree","Male","92","2","Healthcare Representative","3","Married","5063","15332","No","14","3","2","8","2","7","7","Medium","High","Low","High","Low","Low"
"61","No","Travel_Rarely","118","Sales","Life Sciences","Female","84","2","Sales Executive","1","Married","4639","11262","No","15","3","3","5","4","1","2","Medium","High","Low","Low","High","High"
"62","No","Travel_Rarely","622","Sales","Medical","Male","40","1","Sales Representative","3","Married","2096","26376","No","11","3","3","7","4","0","6","Young","Low","Low","Low","High","High"
"63","No","Travel_Frequently","322","Research & Development","Medical","Female","59","4","Manufacturing Director","3","Married","13247","9731","Yes","11","3","2","24","3","0","2","Old","High","Low","Low","Low","High"
"64","No","Travel_Rarely","930","Research & Development","Medical","Female","73","2","Research Scientist","3","Single","4081","20003","Yes","Not Known","3","1","20","7","1","8","Medium","Low","High","High","Low","Low"
"65","No","Travel_Rarely","950","Research & Development","Other","Male","59","3","Manufacturing Director","3","Single","10221","18869","No","21","4","2","17","5","1","6","Medium","High","Low","High","High","High"
"66","No","Travel_Rarely","682","Sales","Medical","Male","71","2","Sales Executive","1","Married","5561","15975","No","16","3","4","6","3","0","4","Medium","Low","Low","High","Low","High"
"67","No","Travel_Rarely","1239","Human Resources","Other","Male","89","2","Human Resources","2","Divorced","4071","12832","No","13","3","3","19","0","4","7","Medium","High","High","Low","Low","High"
"68","No","Travel_Rarely","413","Sales","Marketing","Male","57","1","Sales Representative","2","Single","2983","18398","No","14","3","1","4","2","1","2","Young","High","Low","Low","High","High"
"69","No","Travel_Rarely","1053","Research & Development","Life Sciences","Male","70","4","Manager","4","Married","17099","13829","No","15","3","2","26","8","7","8","Old","High","Low","Low","Low","High"
"70","No","Travel_Rarely","334","Research & Development","Life Sciences","Male","83","3","Healthcare Representative","4","Divorced","9439","23402","Yes","16","3","2","12","3","1","4","Old","High","Low","Low","Low","High"
"71","Yes","Travel_Frequently","130","Research & Development","Life Sciences","Female","96","1","Research Scientist","2","Divorced","2022","16612","Yes","19","3","1","10","2","7","8","Medium","High","High","High","Low","High"
"72","No","Travel_Rarely","604","Sales","Medical","Male","56","2","Sales Executive","4","Married","6209","11693","No","15","3","3","10","7","0","8","Young","High","High","High","High","High"
"73","No","Non-Travel","673","Research & Development","Other","Female","96","2","Manufacturing Director","3","Divorced","4011","8232","No","18","3","4","5","2","1","3","Young","Low","Low","Low","Low","High"
"74","No","Travel_Frequently","580","Sales","Life Sciences","Male","48","3","Sales Executive","1","Married","10475","23772","Yes","21","4","3","20","13","1","12","Medium","High","High","High","High","Low"
"75","No","Travel_Frequently","1193","Research & Development","Medical","Male","86","3","Manufacturing Director","3","Single","10209","19719","Yes","18","3","2","16","2","2","2","Medium","Low","Low","Low","Low","High"
"76","No","Travel_Rarely","634","Research & Development","Other","Female","35","1","Research Scientist","4","Married","3312","18783","No","17","3","4","6","2","0","2","Young","Low","Low","High","High","High"
"77","No","Travel_Rarely","1082","Sales","Life Sciences","Female","41","3","Sales Executive","3","Married","10686","8392","No","11","3","2","13","4","7","0","Old","High","Low","High","High","Low"
"78","Yes","Travel_Rarely","984","Research & Development","Life Sciences","Female","97","1","Laboratory Technician","2","Married","2210","3372","No","13","3","1","1","0","0","0","Young","High","Low","Low","Low","High"
"79","No","Travel_Rarely","1210","Sales","Medical","Male","78","2","Sales Executive","2","Married","6644","3687","No","19","3","2","10","0","0","0","Young","Low","Low","High","High","Low"
"80","No","Travel_Frequently","693","Research & Development","Life Sciences","Male","57","1","Research Scientist","3","Divorced","2610","15748","No","11","3","4","4","2","0","3","Medium","High","Low","High","High","High"
"81","No","Non-Travel","142","Sales","Medical","Male","69","3","Sales Executive","2","Divorced","8834","24666","No","13","3","4","9","5","7","7","Medium","Low","Low","High","High","High"
"82","No","Travel_Rarely","304","Sales","Other","Male","60","2","Sales Executive","4","Single","6274","18686","No","22","4","3","6","5","1","4","Medium","High","Low","High","High","High"
"83","No","Travel_Rarely","362","Research & Development","Life Sciences","Female","43","1","Research Scientist","1","Single","2619","14561","No","17","3","4","Not Known","0","0","0","Medium","High","Low","Low","Low","High"
"84","No","Travel_Frequently","319","Sales","Marketing","Male","41","1","Sales Representative","4","Divorced","2793","2539","No","17","3","3","13","8","5","8","Medium","Low","Low","High","High","High"
"85","No","Travel_Frequently","217","Sales","Medical","Female","49","4","Sales Executive","3","Divorced","13770","10225","Yes","12","3","4","28","2","11","13","Medium","High","High","High","Low","High"
"86","No","Non-Travel","750","Sales","Marketing","Male","95","2","Sales Executive","2","Married","6146","15480","No","13","3","1","8","7","0","7","Medium","High","Low","Low","High","High"
"87","Yes","Travel_Rarely","1243","Research & Development","Life Sciences","Male","63","1","Laboratory Technician","1","Married","1601","3445","Yes","21","4","3","1","0","0","0","Young","High","Low","High","High","High"
"88","No","Travel_Rarely","855","Research & Development","Life Sciences","Male","54","3","Manufacturing Director","4","Single","7898","18706","No","11","3","3","11","9","0","8","Old","High","High","High","High","High"
"89","No","Travel_Rarely","1476","Research & Development","Medical","Male","68","Not Known","Healthcare Representative","1","Single","5661","4824","No","19","3","3","9","3","0","7","Young","Low","Low","Low","High","High"
"90","No","Travel_Rarely","683","Research & Development","Medical","Male","36","1","Research Scientist","4","Single","3904","4050","No","12","3","4","5","3","1","1","Young","Low","Low","Low","High","Low"
"91","No","Travel_Rarely","492","Research & Development","Medical","Male","66","2","Manufacturing Director","2","Married","5295","7693","No","21","4","3","7","4","1","0","Medium","High","Low","High","High","High"
"92","No","Travel_Rarely","1272","Research & Development","Technical Degree","Female","37","3","Healthcare Representative","2","Divorced","10552","9255","Yes","13","3","4","24","0","0","4","Old","High","Low","High","High","Low"
"93","No","Travel_Rarely","1041","Human Resources","Human Resources","Male","36","1","Human Resources","2","Married","2143","25527","No","13","3","2","8","2","0","4","Medium","High","Low","High","High","High"
"94","No","Travel_Rarely","661","Sales","Marketing","Female","78","3","Sales Executive","4","Married","10934","20715","Yes","18","3","4","35","2","0","4","Old","Low","Low","Low","High","Low"
"95","Yes","Non-Travel","335","Research & Development","Medical","Male","46","1","Research Scientist","1","Single","2321","10322","Yes","22","4","1","4","2","1","2","Young","High","Low","Low","High","Low"
"96","Yes","Travel_Rarely","601","Research & Development","Medical","Female","53","3","Manufacturing Director","1","Married","10008","12023","Yes","14","3","4","31","9","5","9","Old","High","High","High","Low","Low"
"97","No","Travel_Rarely","335","Sales","Marketing","Male","33","2","Sales Executive","2","Married","5507","16822","No","16","3","3","12","2","1","3","Medium","High","Low","Low","Low","Low"
"98","No","Travel_Rarely","933","Research & Development","Life Sciences","Male","98","2","Manufacturing Director","2","Married","4434","11806","No","13","3","4","10","8","7","8","Medium","Low","Low","High","Low","High"
"99","No","Travel_Rarely","621","Sales","Marketing","Male","31","4","Manager","1","Married","16856","10084","No","11","3","1","34","6","1","16","Old","High","High","High","High","Low"
"100","No","Travel_Rarely","1171","Research & Development","Life Sciences","Female","46","1","Laboratory Technician","3","Married","2213","22495","Yes","13","3","3","10","7","1","7","Medium","High","Low","High","High","High"
"101","No","Travel_Rarely","1351","Research & Development","Life Sciences","Male","80","2","Healthcare Representative","3","Married","5347","7419","No","14","3","2","10","2","0","2","Medium","Low","Low","High","Low","High"
"102","No","Non-Travel","895","Sales","Medical","Male","39","1","Sales Representative","4","Single","2610","2851","No","24","4","3","3","2","2","2","Young","Low","Low","Low","Low","High"
"103","No","Non-Travel","1238","Research & Development","Life Sciences","Male","74","3","Healthcare Representative","3","Married","10748","3395","No","23","4","4","25","15","14","4","Medium","High","High","Low","Low","Low"
"104","No","Travel_Rarely","1275","Research & Development","Medical","Female","64","2","Research Scientist","4","Married","5775","11934","No","13","3","4","11","8","1","9","Young","High","High","Low","High","High"
"105","No","Travel_Rarely","688","Research & Development","Life Sciences","Male","82","2","Healthcare Representative","4","Divorced","5745","18899","No","14","3","2","10","2","1","2","Medium","High","Low","High","High","High"
"106","No","Travel_Rarely","243","Sales","Marketing","Female","46","2","Sales Executive","4","Single","4028","7791","No","20","4","1","8","7","0","5","Medium","High","Low","High","High","Low"
"107","No","Travel_Frequently","1182","Sales","Marketing","Male","54","2","Sales Executive","4","Divorced","4968","18500","No","11","3","4","5","2","0","2","Medium","High","Low","Low","High","High"
"108","No","Non-Travel","1105","Research & Development","Life Sciences","Female","47","2","Laboratory Technician","2","Married","5674","6927","No","15","3","3","11","8","0","8","Medium","Low","Low","High","High","High"
"109","No","Travel_Frequently","1018","Sales","Marketing","Female","66","2","Sales Executive","1","Divorced","4103","4297","No","17","3","4","10","3","1","7","Medium","High","Low","High","High","High"
"110","No","Non-Travel","722","Sales","Life Sciences","Male","38","4","Manager","3","Single","17444","20489","No","11","3","4","10","8","6","0","Medium","High","High","High","High","High"
"111","No","Travel_Frequently","443","Research & Development","Life Sciences","Female","48","1","Laboratory Technician","3","Married","3755","17872","No","11","3","1","8","3","0","7","Medium","High","Low","Low","High","High"
"112","No","Travel_Rarely","1253","Research & Development","Medical","Male","65","3","Research Director","3","Single","13464","7914","No","21","4","3","9","3","2","2","Medium","High","Low","Low","High","High"
"113","Yes","Travel_Rarely","147","Research & Development","Medical","Female","94","3","Healthcare Representative","4","Married","10312","3465","No","12","3","4","40","10","15","6","Old","High","High","High","Low","High"
"114","No","Travel_Rarely","1055","Research & Development","Medical","Female","76","5","Research Director","1","Married","19701","22456","Yes","21","4","3","32","8","1","5","Old","High","Low","High","High","High"
"115","No","Travel_Rarely","1217","Research & Development","Medical","Female","67","1","Research Scientist","1","Married","3591","12719","No","25","4","3","3","2","1","2","Young","High","Low","High","High","High"
"116","No","Non-Travel","1351","Research & Development","Life Sciences","Male","66","1","Laboratory Technician","2","Married","2810","9238","No","22","4","2","5","4","0","2","Medium","Low","Low","High","High","High"
"117","No","Travel_Rarely","1075","Human Resources","Human Resources","Male","57","1","Human Resources","2","Divorced","2277","22650","Yes","11","3","3","7","3","0","3","Medium","High","Low","Low","High","High"
"118","Yes","Travel_Rarely","471","Research & Development","Technical Degree","Male","66","1","Laboratory Technician","4","Single","2340","23213","Yes","18","3","2","1","0","0","0","Young","High","Low","High","Low","Low"
"119","No","Travel_Rarely","883","Sales","Medical","Female","32","2","Sales Executive","4","Single","6180","22807","No","23","4","2","6","5","1","4","Young","High","Low","Low","Low","High"
"120","No","Non-Travel","746","Sales","Life Sciences","Male","61","2","Sales Executive","3","Married","4649","16928","No","14","3","1","4","3","0","2","Young","High","Low","High","Low","High"
"121","No","Travel_Rarely","192","Research & Development","Medical","Male","59","1","Laboratory Technician","1","Married","3955","11141","No","16","3","1","6","3","1","3","Young","Low","Low","Low","High","Low"
"122","No","Travel_Frequently","636","Research & Development","Other","Male","47","1","Laboratory Technician","4","Married","2376","26537","No","13","3","2","2","2","2","2","Medium","High","Low","High","High","Low"
"123","Yes","Travel_Rarely","740","Sales","Life Sciences","Male","64","2","Sales Executive","1","Married","9714","5323","No","11","3","4","10","8","6","7","Young","Low","High","High","High","Low"
"124","No","Travel_Rarely","474","Research & Development","Life Sciences","Female","89","1","Research Scientist","4","Married","2061","11133","No","21","4","1","1","0","0","0","Young","Low","Low","High","High","High"
"125","No","Travel_Rarely","530","Sales","Life Sciences","Female","51","2","Sales Representative","4","Single","4502","7439","No","15","3","3","17","7","6","7","Medium","High","High","High","Low","High"
"126","No","Travel_Rarely","1202","Research & Development","Medical","Female","89","2","Healthcare Representative","3","Divorced","6377","13888","No","20","4","2","15","11","11","8","Medium","Low","High","Low","High","High"
"127","No","Travel_Rarely","1062","Research & Development","Medical","Female","96","2","Healthcare Representative","1","Single","6812","17198","No","19","3","2","10","9","1","8","Young","High","High","High","High","Low"
"128","No","Travel_Rarely","141","Sales","Other","Male","98","2","Sales Executive","1","Married","4194","14363","Yes","18","3","4","5","3","0","3","Young","High","Low","Low","High","High"
"129","No","Travel_Rarely","309","Sales","Life Sciences","Female","88","2","Sales Executive","4","Divorced","6694","24223","Yes","14","3","3","8","0","0","0","Medium","High","Low","High","High","Low"
"130","No","Travel_Rarely","1280","Research & Development","Medical","Male","64","1","Research Scientist","4","Married","2889","26897","No","11","3","3","2","2","2","1","Young","High","Low","Low","High","Low"
"131","No","Travel_Rarely","1167","Research & Development","Life Sciences","Male","76","1","Research Scientist","3","Divorced","2517","3208","No","11","3","2","5","3","0","3","Young","Low","Low","Low","High","High"
"132","No","Travel_Rarely","654","Sales","Marketing","Male","43","1","Sales Representative","4","Single","2678","5050","No","17","3","4","2","1","2","2","Young","High","Low","High","High","High"
"133","No","Travel_Rarely","1217","Research & Development","Technical Degree","Female","60","3","Research Director","3","Married","13549","24001","No","12","3","1","16","3","0","3","Old","Low","Low","High","Low","High"
"134","No","Travel_Rarely","855","Sales","Marketing","Female","73","2","Sales Executive","1","Divorced","4779","12761","No","14","3","2","8","2","0","2","Young","High","Low","High","High","High"
"135","No","Travel_Rarely","1055","Research & Development","Life Sciences","Female","47","2","Manufacturing Director","4","Married","4227","4658","No","18","3","2","4","2","2","2","Young","Low","Low","High","High","High"
"136","No","Travel_Rarely","672","Research & Development","Technical Degree","Male","78","3","Manufacturing Director","2","Married","10903","9129","No","16","3","1","16","10","4","8","Medium","High","High","High","High","Low"
"137","Yes","Travel_Rarely","1168","Sales","Life Sciences","Male","66","3","Sales Executive","1","Single","10448","5843","Yes","13","3","2","15","2","2","2","Old","Low","Low","High","Low","High"
"138","No","Travel_Rarely","390","Research & Development","Medical","Male","62","1","Laboratory Technician","3","Married","2305","6217","No","15","3","3","3","2","0","2","Young","High","Low","High","High","Low"
"139","Yes","Travel_Rarely","1434","Research & Development","Technical Degree","Male","50","1","Laboratory Technician","3","Single","3441","11179","Yes","13","3","3","2","2","2","2","Young","High","Low","High","Low","High"
"140","Yes","Travel_Frequently","109","Research & Development","Medical","Female","60","1","Laboratory Technician","2","Single","2422","25725","No","17","3","1","4","2","1","2","Young","Low","Low","High","High","High"
"141","No","Travel_Rarely","557","Research & Development","Life Sciences","Male","35","2","Research Scientist","1","Divorced","5410","11189","Yes","17","3","3","9","3","1","2","Medium","High","Low","High","Low","High"
"142","No","Travel_Rarely","682","Sales","Medical","Male","37","4","Sales Executive","3","Single","13872","24409","No","13","3","3","38","10","1","8","Old","High","High","High","Low","High"
"143","No","Travel_Rarely","943","Research & Development","Life Sciences","Male","86","3","Healthcare Representative","4","Divorced","8500","5494","No","11","3","4","10","7","1","6","Medium","High","Low","High","Low","High"
"144","No","Travel_Frequently","541","Sales","Medical","Male","48","3","Sales Executive","4","Married","9699","7246","No","11","3","1","114","9","1","12","Medium","Low","High","High","High","Low"
"145","No","Travel_Rarely","818","Human Resources","Medical","Male","52","1","Human Resources","3","Married","2267","25657","No","17","3","4","7","2","2","2","Old","Low","Low","Low","Low","High"
"146","No","Non-Travel","999","Research & Development","Technical Degree","Female","92","1","Research Scientist","3","Divorced","2029","15891","No","20","4","3","5","4","0","0","Medium","Low","Low","Low","High","Low"
"147","No","Travel_Rarely","971","Sales","Technical Degree","Male","64","3","Sales Executive","3","Married","7083","12288","Yes","14","3","4","10","9","8","6","Medium","High","High","High","High","Low"
"148","No","Travel_Rarely","813","Research & Development","Life Sciences","Female","50","3","Research Director","1","Divorced","13269","21981","No","15","3","3","19","11","1","11","Old","High","High","High","High","Low"
"149","No","Travel_Rarely","930","Sales","Marketing","Male","74","3","Sales Executive","1","Divorced","10761","19239","Yes","12","3","3","18","4","0","2","Medium","High","Low","High","High","High"
"150","No","Travel_Rarely","1451","Research & Development","Life Sciences","Male","67","1","Research Scientist","2","Married","3201","19911","No","17","3","1","6","3","0","4","Young","Low","Low","Low","Low","Low"
"151","No","Non-Travel","1180","Research & Development","Medical","Male","90","2","Manufacturing Director","4","Divorced","5762","24442","No","14","3","3","15","7","1","7","Medium","Low","Low","Low","High","High"
"152","No","Travel_Frequently","1003","Research & Development","Life Sciences","Male","95","2","Manufacturing Director","3","Single","4033","15834","No","11","3","4","5","2","0","2","Medium","High","Low","Low","Low","High"
"153","No","Non-Travel","443","Research & Development","Medical","Male","50","1","Research Scientist","4","Married","1706","16571","No","11","3","3","0","0","0","0","Young","High","Low","High","Low","High"
"154","No","Non-Travel","1142","Research & Development","Life Sciences","Male","72","2","Healthcare Representative","4","Divorced","4069","8841","Yes","18","3","3","8","2","2","2","Medium","High","Low","Low","High","High"
"155","No","Travel_Rarely","1018","Research & Development","Life Sciences","Female","39","3","Research Director","4","Single","11159","19373","No","15","3","4","10","7","7","7","Young","High","Low","Low","High","High"
"156","No","Travel_Rarely","1498","Sales","Life Sciences","Male","44","2","Sales Executive","4","Married","6120","3567","Yes","12","3","4","8","4","1","4","Medium","Low","Low","High","High","Low"
"157","No","Non-Travel","862","Sales","Life Sciences","Female","76","1","Sales Representative","1","Divorced","2827","14947","No","12","3","3","1","0","0","0","Young","High","Low","Low","High","High"
